id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.45433685922907,1.10828025477707,0,0,0,0,0,0,0,0
1,3,1.80581475744762,4.90624999999999,0,0,0,0,0,0,0,0
1,4,1.80519661229124,4.48571428571429,0,0,0,0,0,0,0,0
1,5,1.83606236277529,3.65116279069767,0,0,0,0,0,0,0,0
1,6,1.82345693509775,3.34042553191489,0,0,0,0,0,0,0,0
2,3,2.88678263773864,5.43749999999999,0,0,0,0,0,0,0,0
2,4,3.33306394522052,4.97142857142858,0,0,0,0,0,0,0,0
2,5,3.39049329685586,4.04651162790697,0,0,0,0,0,0,0,0
2,6,3.52387603928499,3.70212765957446,0,0,0,0,0,0,0,0
3,4,2.01492537313433,1.09375,0,0,0,0,0,0,0,0
3,5,2.3630488780387,1.34375,0,0,0,0,0,0,0,0
3,6,3.1358188784519,1.46875,0,0,0,0,0,0,0,0
4,5,0.550685425510628,1.22857142857143,0,0,0,0,0,0,0,0
4,6,1.38536800068538,1.34285714285715,0,0,0,0,0,0,0,0
5,6,0.837692303332033,1.09302325581395,0,0,0,0,0,0,0,0
