id_1,id_2,delta,scale_ratio,sr_score_1,sr_score_2,sr_score_3,sr_score_4,sr_score_5,sr_score_6,sr_score_7,sr_score_8
1,2,1.2814618388561,1.47933884297521,0,0,0,0,0,0,0,0
1,3,2.21993686308232,6.39285714285715,0,0,0,0,0,0,0,0
1,4,2.10441232416265,6.62962962962962,0,0,0,0,0,0,0,0
1,5,2.22056299167576,8.52380952380952,0,0,0,0,0,0,0,0
2,3,4.12302369078312,4.32142857142858,0,0,0,0,0,0,0,0
2,4,3.49360916061446,4.48148148148148,0,0,0,0,0,0,0,0
2,5,3.5313443303097,5.76190476190476,0,0,0,0,0,0,0,0
3,4,2.14737972175894,1.03703703703703,0,0,0,0,0,0,0,0
3,5,3.04328074358877,1.33333333333333,0,0,0,0,0,0,0,0
4,5,0.685286841808271,1.28571428571429,0,0,0,0,0,0,0,0
